<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.07	02:00:00	1.08716	1.08790	1.08642	1.08727	889	0	14
2022.03.07	03:00:00	1.08732	1.08837	1.08617	1.08617	2457	0	15
2022.03.07	04:00:00	1.08612	1.08657	1.08207	1.08427	4325	0	15
2022.03.07	05:00:00	1.08427	1.08527	1.08357	1.08447	2290	0	15
2022.03.07	06:00:00	1.08452	1.08847	1.08407	1.08702	2681	0	15
2022.03.07	07:00:00	1.08707	1.08797	1.08627	1.08787	1526	0	15
2022.03.07	08:00:00	1.08782	1.08867	1.08657	1.08757	1974	0	15
2022.03.07	09:00:00	1.08762	1.08887	1.08707	1.08727	2121	0	15
2022.03.07	10:00:00	1.08727	1.08967	1.08657	1.08707	3360	0	15
2022.03.07	11:00:00	1.08707	1.08897	1.08537	1.08617	4186	0	15
2022.03.07	12:00:00	1.08622	1.08697	1.08497	1.08562	3247	0	15
2022.03.07	13:00:00	1.08572	1.08587	1.08057	1.08317	2907	0	15
2022.03.07	14:00:00	1.08318	1.08637	1.08257	1.08591	3324	0	15
2022.03.07	15:00:00	1.08590	1.09237	1.08547	1.08857	6227	0	15
2022.03.07	16:00:00	1.08867	1.09197	1.08847	1.08977	4915	0	15
2022.03.07	17:00:00	1.08977	1.09302	1.08897	1.08907	4781	0	15
2022.03.07	18:00:00	1.08907	1.08957	1.08577	1.08757	4070	0	15
2022.03.07	19:00:00	1.08757	1.08767	1.08477	1.08597	3261	0	15
2022.03.07	20:00:00	1.08592	1.08887	1.08577	1.08757	3155	0	15
2022.03.07	21:00:00	1.08752	1.08997	1.08707	1.08797	2820	0	15
2022.03.07	22:00:00	1.08792	1.08897	1.08447	1.08464	2832	0	15
2022.03.07	23:00:00	1.08465	1.08707	1.08462	1.08667	2096	0	15
2022.03.08	00:00:00	1.08692	1.08707	1.08517	1.08517	594	0	15
2022.03.08	01:00:00	1.08527	1.08537	1.08512	1.08532	303	0	15
2022.03.08	02:00:00	1.08527	1.08657	1.08517	1.08657	654	0	15
2022.03.08	03:00:00	1.08657	1.08687	1.08487	1.08567	1532	0	15
2022.03.08	04:00:00	1.08567	1.08797	1.08527	1.08747	2170	0	15
2022.03.08	05:00:00	1.08747	1.08837	1.08702	1.08747	1735	0	15
2022.03.08	06:00:00	1.08742	1.08787	1.08667	1.08672	1151	0	15
2022.03.08	07:00:00	1.08667	1.08717	1.08642	1.08697	1050	0	15
2022.03.08	08:00:00	1.08696	1.08697	1.08552	1.08587	1510	0	15
2022.03.08	09:00:00	1.08592	1.08657	1.08517	1.08597	1781	0	15
2022.03.08	10:00:00	1.08602	1.08827	1.08507	1.08607	3408	0	15
